作业ID,作业标题,作业题目ID,作业题目标题
1202,mips课上测试，仅面向助教发布,9536,水仙花数
1202,mips课上测试，仅面向助教发布,9537,冒泡排序++
1220,实验4 汇编链接器,9784,汇编链接器
1203,实验3 模拟Cache设计-课下实验,9538,Part1  Cache模拟器实现
1203,实验3 模拟Cache设计-课下实验,9539,Part2  矩阵转置优化
1159,预备-数制基础,9118,数字编码
1159,预备-数制基础,9079,进制转换
1228,实验五 计算机I/0 通信实验（选做）,9800,计算机I/0 通信实验
1163,预备-Logisim基础,9083,与运算
1163,预备-Logisim基础,9087,简单逻辑表达式
1163,预备-Logisim基础,9085,多路选择器（MUX）
1163,预备-Logisim基础,9084,加法器减法器
1192,实验1 简单部件与状态机设计-课下实验,9110,自动售货机
1192,实验1 简单部件与状态机设计-课下实验,9088,小型ALU
1192,实验1 简单部件与状态机设计-课下实验,9509,x mod 5
1214,cache lab课上实验的测试作业【开放给助教】,9580,Part2  矩阵转置优化（64X64）
1214,cache lab课上实验的测试作业【开放给助教】,9550,Part1  Cache模拟器实现（LRU+FIFO）
1165,实验2 MIPS汇编基础-课下实验,9178,MIPS数组
1165,实验2 MIPS汇编基础-课下实验,9093,最大公约数
1165,实验2 MIPS汇编基础-课下实验,9082,闰年
1165,实验2 MIPS汇编基础-课下实验,9081,素数
1165,实验2 MIPS汇编基础-课下实验,9094,字符串部分逆置
1165,实验2 MIPS汇编基础-课下实验,9080,加减乘除
1165,实验2 MIPS汇编基础-课下实验,9104,回文串判断
